user_id,count
474.0,9
779.0,9
110.0,12
317.0,12
689.0,13
901.0,13
526.0,13
525.0,13
125.0,13
0.0,13
216.0,14
533.0,14
737.0,14
597.0,14
584.0,14
72.0,14
295.0,14
658.0,15
398.0,15
762.0,15
1011.0,15
823.0,16
701.0,16
879.0,16
884.0,16
691.0,16
534.0,16
171.0,16
408.0,16
40.0,16
194.0,17
413.0,17
484.0,17
438.0,17
400.0,17
447.0,17
617.0,17
582.0,17
826.0,17
543.0,17
274.0,17
482.0,17
144.0,17
804.0,17
710.0,17
565.0,17
1012.0,17
838.0,17
955.0,17
319.0,18
75.0,18
608.0,18
488.0,18
910.0,18
558.0,18
830.0,18
811.0,18
551.0,18
48.0,18
389.0,18
509.0,18
472.0,18
133.0,18
56.0,18
306.0,18
256.0,18
785.0,18
205.0,18
783.0,18
924.0,18
427.0,19
451.0,19
417.0,19
150.0,19
654.0,19
890.0,19
1001.0,19
622.0,19
806.0,19
276.0,19
791.0,19
242.0,19
667.0,19
455.0,19
845.0,19
184.0,19
392.0,19
119.0,20
947.0,20
937.0,20
662.0,20
495.0,20
841.0,20
989.0,20
905.0,20
934.0,20
1008.0,20
642.0,20
428.0,21
836.0,21
514.0,21
421.0,21
98.0,21
62.0,21
817.0,21
793.0,21
854.0,21
595.0,21
860.0,21
122.0,21
705.0,21
815.0,21
406.0,21
983.0,21
863.0,21
45.0,21
596.0,21
620.0,21
554.0,21
942.0,21
61.0,21
223.0,22
825.0,22
137.0,22
183.0,22
851.0,22
109.0,22
222.0,22
999.0,22
539.0,22
895.0,22
76.0,22
866.0,22
774.0,22
334.0,23
140.0,23
949.0,23
123.0,23
800.0,23
316.0,23
145.0,23
337.0,23
616.0,23
322.0,23
11.0,23
674.0,23
834.0,23
378.0,23
524.0,23
757.0,23
956.0,24
707.0,24
593.0,24
302.0,24
978.0,24
695.0,24
425.0,24
423.0,24
155.0,24
182.0,24
980.0,25
265.0,25
1005.0,25
229.0,25
541.0,25
211.0,25
16.0,25
390.0,25
480.0,25
460.0,25
927.0,25
741.0,25
822.0,25
414.0,25
758.0,26
960.0,26
538.0,26
696.0,26
782.0,26
555.0,26
577.0,26
195.0,26
706.0,26
248.0,26
827.0,26
284.0,26
958.0,26
358.0,26
781.0,27
936.0,27
434.0,27
951.0,27
178.0,27
728.0,27
870.0,28
624.0,28
604.0,28
704.0,28
120.0,28
865.0,28
764.0,28
683.0,28
844.0,28
912.0,28
198.0,28
954.0,28
53.0,29
489.0,29
1014.0,29
571.0,29
138.0,29
669.0,30
70.0,30
562.0,31
94.0,31
506.0,31
266.0,31
388.0,31
644.0,32
749.0,32
666.0,32
502.0,32
790.0,32
172.0,32
347.0,32
59.0,32
507.0,33
747.0,34
699.0,34
153.0,34
369.0,34
393.0,34
548.0,34
362.0,34
560.0,34
723.0,34
751.0,34
91.0,34
569.0,34
684.0,35
127.0,35
370.0,35
13.0,35
204.0,35
668.0,35
848.0,35
382.0,35
439.0,35
796.0,35
190.0,35
892.0,35
965.0,35
142.0,35
356.0,35
733.0,35
968.0,35
191.0,35
659.0,35
631.0,35
377.0,36
585.0,36
354.0,36
465.0,36
352.0,36
856.0,36
121.0,36
523.0,36
697.0,36
18.0,37
797.0,37
807.0,37
361.0,37
486.0,37
151.0,37
383.0,37
694.0,37
293.0,37
107.0,37
600.0,37
126.0,37
570.0,37
39.0,37
332.0,37
463.0,37
457.0,37
412.0,37
803.0,38
909.0,38
932.0,38
82.0,38
286.0,38
963.0,38
903.0,38
859.0,38
102.0,38
206.0,38
117.0,38
255.0,38
271.0,38
197.0,39
660.0,39
702.0,39
313.0,39
245.0,39
444.0,39
380.0,39
221.0,39
615.0,39
